,period_begin,period_end,duration,total_homes_sold,median_sale_price,median_days_to_close,price_drops,percent_active_listings_with_price_drops,pending_sales,total_new_listings,average_new_listings,median_new_listing_price,inventory,total_active_listings,age_of_inventory,homes_delisted,median_active_list_price,avg_offer_to_list,median_days_on_market,months_of_supply,percent_total_price_drops_of_inventory
321011,2018-04-09,2018-04-15,1 weeks,504.0,215000.0,34.0,334.0,0.04507422402159244,531.0,829.0,829.0,232500.0,6632.0,7410.0,51.0,113.0,215000.0,0.9722357782734892,34.0,14.702380952380953,0.050361881785283474
383372,2017-05-22,2017-05-28,1 weeks,610.0,185000.0,38.0,177.0,0.01813710421149708,503.0,647.0,647.0,185000.0,9040.0,9759.0,60.0,114.0,189900.0,0.9593679290619491,31.0,15.998360655737706,0.01957964601769912
383374,2019-04-29,2019-05-05,1 weeks,760.0,211750.0,30.0,467.0,0.05780418368609976,510.0,886.0,886.0,250000.0,7272.0,8079.0,46.0,187.0,249800.0,0.9740934968497588,38.0,10.630263157894737,0.06421892189218921
383376,2020-03-02,2020-03-08,1 weeks,389.0,215000.0,27.0,354.0,0.051906158357771265,335.0,792.0,792.0,241000.0,6223.0,6820.0,47.0,119.0,250000.0,0.9616927382658208,51.0,17.532133676092545,0.05688574642455407
383390,2018-12-10,2018-12-16,1 weeks,542.0,199050.0,32.0,267.0,0.039172535211267616,217.0,405.0,405.0,180000.0,6379.0,6816.0,72.0,146.0,210000.0,0.9487749659457808,37.5,12.575645756457565,0.04185609029628468
383410,2017-10-16,2017-10-22,1 weeks,442.0,180000.0,33.0,192.0,0.020552344251766216,314.0,638.0,638.0,189000.0,8742.0,9342.0,72.0,164.0,205000.0,0.9925373134328358,51.5,21.135746606334838,0.021962937542896358
383416,2019-08-12,2019-08-18,1 weeks,519.0,221000.0,30.0,395.0,0.05119232763089684,395.0,611.0,611.0,199000.0,7095.0,7716.0,60.0,131.0,239000.0,0.974878198840082,39.0,14.867052023121385,0.05567300916138125
383428,2018-01-08,2018-01-14,1 weeks,407.0,187000.0,27.0,117.0,0.015800135043889264,246.0,442.0,442.0,175000.0,6872.0,7405.0,90.0,155.0,199900.0,0.9230769230769232,59.0,18.1941031941032,0.0170256111757858
383441,2017-02-27,2017-03-05,1 weeks,547.0,181000.0,33.0,147.0,0.01609547793715099,359.0,827.0,827.0,219000.0,8419.0,9133.0,73.0,176.0,175000.0,0.9910762859305116,54.0,16.69652650822669,0.017460505998337098
383453,2017-09-25,2017-10-01,1 weeks,746.0,188200.0,36.0,199.0,0.021007072733030718,371.0,671.0,671.0,225000.0,8752.0,9473.0,72.0,218.0,200000.0,0.971643560789432,39.0,12.698391420911527,0.022737659963436928
